filename,zipf,ct0,l1base,mem,write_gb,write_speed_MBps,read_gb,read_speed_MBps,duration_sec
RocksDB_10B_val128_zipf1.2_mem2MB_CT016_level1base512_targetbase64.log,1.2,16,512,2MB,192.42,51.83,186.19,50.15,8717.6
RocksDB_10B_val128_zipf1.3_mem2MB_CT064_level1base512_targetbase64.log,1.3,64,512,2MB,121.02,26.51,119.25,26.13,3417.6
RocksDB_10B_val128_zipf1.2_mem8MB_CT016_level1base100_targetbase64.log,1.2,16,100,8MB,140.66,51.75,134.5,49.48,6254.7
RocksDB_10B_val128_zipf1.4_mem2MB_CT064_level1base512_targetbase64.log,1.4,64,512,2MB,63.83,20.23,63.28,20.06,1761.8
RocksDB_10B_val128_zipf1.1_mem2MB_CT032_level1base300_targetbase64.log,1.1,32,300,2MB,407.9,67.69,381.63,63.33,24834.7
RocksDB_10B_val128_zipf1.2_mem8MB_CT032_level1base512_targetbase64.log,1.2,32,512,8MB,123.04,45.2,116.76,42.9,5296.2
RocksDB_10B_val128_zipf1.1_mem8MB_CT032_level1base512_targetbase64.log,1.1,32,512,8MB,309.62,64.09,282.9,58.55,17796.3
RocksDB_10B_val128_zipf1.2_mem32MB_CT064_level1base300_targetbase64.log,1.2,64,300,32MB,93.79,26.67,87.04,24.75,3490.6
RocksDB_10B_val128_zipf1.1_mem8MB_CT08_level1base300_targetbase64.log,1.1,8,300,8MB,313.58,72.01,286.66,65.83,17692.4
RocksDB_10B_val128_zipf1.1_mem2MB_CT08_level1base300_targetbase64.log,1.1,8,300,2MB,408.13,67.37,381.67,63.0,21674.8
RocksDB_10B_val128_zipf1.1_mem8MB_CT064_level1base300_targetbase64.log,1.1,64,300,8MB,410.75,59.16,384.81,55.43,18414.4
RocksDB_10B_val128_zipf1.1_mem2MB_CT064_level1base512_targetbase64.log,1.1,64,512,2MB,531.12,48.09,504.78,45.7,19436.1
RocksDB_10B_val128_zipf1.1_mem2MB_CT032_level1base100_targetbase64.log,1.1,32,100,2MB,439.78,72.74,412.23,68.18,27304.4
RocksDB_10B_val128_zipf1.2_mem8MB_CT08_level1base300_targetbase64.log,1.2,8,300,8MB,134.14,49.37,126.85,46.68,5923.8
RocksDB_10B_val128_zipf1.1_mem32MB_CT016_level1base100_targetbase64.log,1.1,16,100,32MB,243.21,69.55,214.63,61.38,13485.5
RocksDB_10B_val128_zipf1.1_mem32MB_CT032_level1base300_targetbase64.log,1.1,32,300,32MB,236.12,65.81,208.74,58.18,13288.8
RocksDB_10B_val128_zipf1.1_mem8MB_CT032_level1base300_targetbase64.log,1.1,32,300,8MB,329.61,66.62,303.44,61.33,20132.9
RocksDB_10B_val128_zipf1.1_mem2MB_CT064_level1base300_targetbase64.log,1.1,64,300,2MB,503.88,54.81,477.95,51.99,19985.5
RocksDB_10B_val128_zipf1.2_mem32MB_CT032_level1base512_targetbase64.log,1.2,32,512,32MB,102.5,37.24,96.3,34.98,4221.1
RocksDB_10B_val128_zipf1.1_mem32MB_CT016_level1base300_targetbase64.log,1.1,16,300,32MB,237.96,67.99,210.3,60.08,13258.3
RocksDB_10B_val128_zipf1.1_mem32MB_CT08_level1base300_targetbase64.log,1.1,8,300,32MB,232.69,67.13,204.29,58.93,12361.5
RocksDB_10B_val128_zipf1.2_mem2MB_CT064_level1base100_targetbase64.log,1.2,64,100,2MB,178.1,43.5,171.97,42.0,6741.7
RocksDB_10B_val128_zipf1.2_mem32MB_CT064_level1base100_targetbase64.log,1.2,64,100,32MB,116.29,41.93,110.2,39.73,4352.7
