batch_number,gets,puts,get_ratio,put_ratio
0,9932,0,1.0,0.0
1,9942,0,1.0,0.0
2,9914,0,1.0,0.0
3,9935,0,1.0,0.0
4,9950,0,1.0,0.0
5,9938,0,1.0,0.0
6,9938,0,1.0,0.0
7,9948,0,1.0,0.0
8,9946,0,1.0,0.0
9,9936,0,1.0,0.0
10,9951,0,1.0,0.0
11,9908,0,1.0,0.0
12,9934,0,1.0,0.0
13,9951,0,1.0,0.0
14,9947,0,1.0,0.0
15,9870,0,1.0,0.0
16,9911,0,1.0,0.0
17,9924,0,1.0,0.0
18,9929,0,1.0,0.0
19,9951,0,1.0,0.0
20,9915,0,1.0,0.0
21,9928,0,1.0,0.0
22,9943,0,1.0,0.0
23,9963,0,1.0,0.0
24,9930,0,1.0,0.0
25,9950,0,1.0,0.0
26,9949,0,1.0,0.0
27,9951,0,1.0,0.0
28,9952,0,1.0,0.0
29,9876,0,1.0,0.0
30,9943,0,1.0,0.0
31,9929,0,1.0,0.0
32,9907,0,1.0,0.0
33,9933,0,1.0,0.0
34,9917,0,1.0,0.0
35,9962,0,1.0,0.0
36,9949,0,1.0,0.0
37,9879,0,1.0,0.0
38,9888,0,1.0,0.0
39,9902,0,1.0,0.0
40,9927,0,1.0,0.0
41,9949,0,1.0,0.0
42,9919,0,1.0,0.0
43,9910,0,1.0,0.0
44,9901,0,1.0,0.0
45,9923,0,1.0,0.0
46,9933,0,1.0,0.0
47,9942,0,1.0,0.0
48,9910,0,1.0,0.0
49,9932,0,1.0,0.0
50,9947,0,1.0,0.0
51,9941,0,1.0,0.0
52,9941,0,1.0,0.0
53,9914,0,1.0,0.0
54,9946,0,1.0,0.0
55,9942,0,1.0,0.0
56,9949,0,1.0,0.0
57,9931,0,1.0,0.0
58,9921,0,1.0,0.0
59,9957,0,1.0,0.0
60,9927,0,1.0,0.0
61,9924,0,1.0,0.0
62,9930,0,1.0,0.0
63,9951,0,1.0,0.0
64,9922,0,1.0,0.0
65,9918,0,1.0,0.0
66,9916,0,1.0,0.0
67,9934,0,1.0,0.0
68,9935,0,1.0,0.0
69,9932,0,1.0,0.0
70,9943,0,1.0,0.0
71,9927,0,1.0,0.0
72,9916,0,1.0,0.0
73,9925,0,1.0,0.0
74,9932,0,1.0,0.0
75,9937,0,1.0,0.0
76,9940,0,1.0,0.0
77,9957,0,1.0,0.0
78,9946,0,1.0,0.0
79,9952,0,1.0,0.0
80,9968,0,1.0,0.0
81,9930,0,1.0,0.0
82,9916,0,1.0,0.0
83,9948,0,1.0,0.0
84,9923,0,1.0,0.0
85,9956,0,1.0,0.0
86,9944,0,1.0,0.0
87,9947,0,1.0,0.0
88,9941,0,1.0,0.0
89,9944,0,1.0,0.0
90,9939,0,1.0,0.0
91,9920,0,1.0,0.0
92,9913,0,1.0,0.0
93,9942,0,1.0,0.0
94,9937,0,1.0,0.0
95,9938,0,1.0,0.0
96,9935,0,1.0,0.0
97,9953,0,1.0,0.0
98,9951,0,1.0,0.0
99,9936,0,1.0,0.0
100,9940,0,1.0,0.0
101,9953,0,1.0,0.0
102,9936,0,1.0,0.0
103,9950,0,1.0,0.0
104,9941,0,1.0,0.0
105,9901,0,1.0,0.0
106,9911,0,1.0,0.0
107,9925,0,1.0,0.0
108,9963,0,1.0,0.0
109,9930,0,1.0,0.0
110,9942,0,1.0,0.0
111,9933,0,1.0,0.0
112,9963,0,1.0,0.0
113,9944,0,1.0,0.0
114,9949,0,1.0,0.0
115,9926,0,1.0,0.0
116,9917,0,1.0,0.0
117,9921,0,1.0,0.0
118,9942,0,1.0,0.0
119,9924,0,1.0,0.0
120,9936,0,1.0,0.0
121,9935,0,1.0,0.0
122,9937,0,1.0,0.0
123,9943,0,1.0,0.0
124,9944,0,1.0,0.0
125,9939,0,1.0,0.0
126,9918,0,1.0,0.0
127,9893,0,1.0,0.0
128,9933,0,1.0,0.0
129,9955,0,1.0,0.0
130,9951,0,1.0,0.0
131,9947,0,1.0,0.0
132,9889,0,1.0,0.0
133,9907,0,1.0,0.0
134,9916,0,1.0,0.0
135,9890,0,1.0,0.0
136,9906,0,1.0,0.0
137,9916,0,1.0,0.0
138,9929,0,1.0,0.0
139,9925,0,1.0,0.0
140,9948,0,1.0,0.0
141,9922,0,1.0,0.0
142,9922,0,1.0,0.0
143,9944,0,1.0,0.0
144,9924,0,1.0,0.0
145,9886,0,1.0,0.0
146,9922,0,1.0,0.0
147,9955,0,1.0,0.0
148,9905,0,1.0,0.0
149,9913,0,1.0,0.0
150,9866,0,1.0,0.0
151,9887,0,1.0,0.0
152,9927,0,1.0,0.0
153,9892,0,1.0,0.0
154,9937,0,1.0,0.0
155,9939,0,1.0,0.0
156,9939,0,1.0,0.0
157,9932,0,1.0,0.0
158,9957,0,1.0,0.0
159,9938,0,1.0,0.0
160,9881,0,1.0,0.0
161,9939,0,1.0,0.0
162,9948,0,1.0,0.0
163,9908,0,1.0,0.0
164,9945,0,1.0,0.0
165,9924,0,1.0,0.0
166,9934,0,1.0,0.0
167,9938,0,1.0,0.0
168,9911,0,1.0,0.0
169,9917,0,1.0,0.0
170,9964,0,1.0,0.0
171,9919,0,1.0,0.0
172,9941,0,1.0,0.0
173,9929,0,1.0,0.0
174,9937,0,1.0,0.0
175,9945,0,1.0,0.0
176,9947,0,1.0,0.0
177,9940,0,1.0,0.0
178,9889,0,1.0,0.0
179,9961,0,1.0,0.0
180,9948,0,1.0,0.0
181,9910,0,1.0,0.0
182,9900,0,1.0,0.0
183,9939,0,1.0,0.0
184,9924,0,1.0,0.0
185,9908,0,1.0,0.0
186,9952,0,1.0,0.0
187,9902,0,1.0,0.0
188,9935,0,1.0,0.0
189,9926,0,1.0,0.0
190,9947,0,1.0,0.0
191,9938,0,1.0,0.0
192,9970,0,1.0,0.0
193,9876,0,1.0,0.0
